Participant_ID,Count,Pointing_Technique,Width,Click_Offset_X,Click_Offset_Y,Right_Target_Clicked,X_Distance,Y_Distance,Time,Fitts_ID,Fitts_Performance,Target_Distance,Timestamp
2,28,True,19,0,0,True,-259,185,95,6.597583843528303,69.44825098450846,920.0135868561943,2019-05-29T08:45:55
2,29,False,19,8,-3,True,519,-376,154,6.6577135747159515,43.23190632932436,959.1689110891783,2019-05-29T08:45:56
2,30,True,94,0,0,True,727,141,63,3.568345316092811,56.64040184274303,557.541029880313,2019-05-29T08:45:57
2,31,False,94,-31,-11,True,-684,248,83,4.912049723728819,59.18132197263637,1415.051235821516,2019-05-29T08:45:58
2,32,True,19,0,0,True,84,-201,148,6.514910308545072,44.01966424692616,868.7744241171007,2019-05-29T08:45:59
2,33,False,19,-4,-9,True,293,24,108,5.014603457300281,46.43151349352112,307.09281984442424,2019-05-29T08:46:01
2,34,True,94,0,0,True,299,151,31,1.3282613921479132,42.847141682190745,118.01694793545543,2019-05-29T08:46:01
2,35,False,94,-22,30,True,281,-94,100,2.385932270753816,23.859322707538162,245.66033460858105,2019-05-29T08:46:02
2,36,True,19,0,0,True,-742,388,142,6.936560670308346,48.849018804988354,1163.6876728744703,2019-05-29T08:46:03
2,37,False,19,9,4,True,-761,-380,104,6.3374763507976875,60.93727260382392,768.2349900909227,2019-05-29T08:46:05
2,38,True,94,0,0,True,-355,274,110,4.048924268123717,36.80840243748834,777.9389436196134,2019-05-29T08:46:05
2,39,False,94,-15,-25,True,-269,378,14,1.521712020331962,108.6937157379973,134.9518432626987,2019-05-29T08:46:06
2,40,True,19,0,0,True,-806,421,110,5.861363564140517,53.28512331036834,552.2934002864781,2019-05-29T08:46:07
3,1,True,94,0,0,True,394,-197,80,3.177751822120172,39.72189777650215,425.30106983171345,2019-05-29T08:50:37
3,2,False,94,-30,-1,True,382,429,172,3.7356950152170993,21.719157065215697,626.1150054103479,2019-05-29T08:50:38
3,3,True,19,0,0,True,-671,-443,161,7.1940302645816265,44.683417792432465,1391.0492442757013,2019-05-29T08:50:41
3,4,False,19,3,-1,True,-899,-44,92,5.596146407235383,60.82767833951504,459.54869165301733,2019-05-29T08:50:42
3,5,True,94,0,0,True,-826,-397,99,2.9455212088221785,29.752739483052306,362.0662922725616,2019-05-29T08:50:43
3,6,False,94,-15,-9,True,662,95,140,5.059411802072662,36.138655729090445,1567.229402480696,2019-05-29T08:50:44
3,7,True,19,0,0,True,859,-40,160,4.610535791250932,28.815848695318323,232.07757323791543,2019-05-29T08:50:45
3,8,False,19,-5,2,True,65,143,168,6.422402862452984,38.228588466982046,814.8159301339168,2019-05-29T08:50:47
3,9,True,94,0,0,True,259,-181,90,2.9898725389769387,33.220805988632655,373.36978988664845,2019-05-29T08:50:48
3,10,False,94,-17,-8,True,-383,-209,62,3.7732114472283342,60.8582491488441,642.6103018159606,2019-05-29T08:50:49
3,11,True,19,0,0,True,238,400,239,6.486894388745218,27.14181752613062,852.0663119734285,2019-05-29T08:50:51
3,12,False,19,-1,-1,True,-510,-278,87,6.731566869419254,77.37433183240522,1009.548413896035,2019-05-29T08:50:52
3,13,True,94,0,0,True,-839,326,62,3.870402290029539,62.42584338757321,687.3929007489094,2019-05-29T08:50:54
3,14,False,94,24,-7,True,262,-407,195,4.8146626420976695,24.69057765178292,1322.682879604934,2019-05-29T08:50:54
3,15,True,19,0,0,True,-634,-313,327,6.527401732931747,19.96147318939372,876.3292760144442,2019-05-29T08:50:55
3,16,False,19,-7,5,True,-441,-391,161,4.453661736192685,27.662495255855184,208.16579930430456,2019-05-29T08:50:57
3,17,True,94,0,0,True,-496,160,87,3.57326662015373,41.07203011670954,559.4461546922993,2019-05-29T08:50:58
3,18,False,94,13,-6,True,-692,-98,168,2.7852886368714325,16.57909902899662,324.0061727807049,2019-05-29T08:50:59
3,19,True,19,0,0,True,513,-121,286,7.002779715763258,24.485243761409993,1218.3451891808002,2019-05-29T08:51:01
3,20,False,19,2,2,True,-761,69,291,7.083090236625642,24.340516277064065,1288.09005896327,2019-05-29T08:51:02
